Trig_date,District,Chiefdom,Section,Name_of_community,Male_child,Male_Adult,Total_male,Female_child,Female_adult,Total_female,Chiefs,Youth_leaders,Religious_leaders,Police,Women_leaders,Health_workers,Children,ss_mc,ss_fc,ss_ma,ss_fa,r_mc,r_fc,r_ma,r_fa,d_mc,d_fc,d_ma,d_fa,b_mc,b_fc,b_ma,b_fa,cb_mc,cb_fc,cb_ma,cb_fa
2015-02-03,Kono,Kemoh,Manorhun,Sakrim,51.0,54.0,105,53.0,70.0,123,3.0,4.0,4.0,1.0,1.0,2.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-16,Kono,,Sandor,Samadu,51.0,54.0,105,53.0,70.0,123,3.0,4.0,8.0,1.0,4.0,1.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-12,Kono,Saaba,Sembehun,Kpaka,56.0,49.0,105,37.0,43.0,80,2.0,3.0,4.0,2.0,1.0,2.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-18,Kono,,Tankorio,Mouimadu,56.0,49.0,105,37.0,43.0,80,6.0,10.0,8.0,5.0,6.0,5.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-04,Port Loko,T.m. Safroko,Mafonikay,Mahera,57.0,47.0,104,57.0,58.0,115,2.0,2.0,2.0,0.0,0.0,4.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2015-02-06,Kono,Bapewa,Mattru,Y.k.k,31.0,73.0,104,20.0,62.0,82,2.0,5.0,1.0,1.0,2.0,2.0,,7,6.0,27.0,32.0,0.0,13.0,0.0,19.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2014-12-19,Kono,,Gbense,Taidu,31.0,73.0,104,20.0,62.0,82,7.0,5.0,1.0,1.0,5.0,2.0,,7,6.0,27.0,32.0,0.0,6.0,0.0,19.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2015-02-06,Bonthe,Kpaka,Nyangoehun,Mamboma,0.0,103.0,103,0.0,96.0,96,2.0,3.0,1.0,0.0,1.0,2.0,,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-05,Port Loko,T.m. Safroko,Mafonikay,Mafonikay,68.0,32.0,100,85.0,56.0,141,2.0,4.0,2.0,0.0,0.0,4.0,,3,3.0,3.0,5.0,3.0,3.0,3.0,5.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
2015-03-02,Pujehun,,Kpanga Kabbordeh,Yendma,48.0,51.0,99,32.0,41.0,73,4.0,4.0,1.0,4.0,1.0,1.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-03,Kono,Soro Gbema,Zombo 1,Fanima,52.0,46.0,98,56.0,44.0,100,2.0,4.0,4.0,2.0,1.0,2.0,,5,2.0,5.0,2.0,5.0,2.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-16,Kono,,Gbense,Small Sefadu,52.0,46.0,98,56.0,44.0,100,7.0,4.0,5.0,4.0,4.0,6.0,,5,2.0,5.0,2.0,5.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-06,Kono,Soro Gbema,Zombo 1,Tossor,33.0,64.0,97,31.0,70.0,101,2.0,4.0,4.0,2.0,2.0,2.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-12-19,Kono,,Kamara,Maima 2,33.0,64.0,97,31.0,70.0,101,6.0,4.0,8.0,5.0,5.0,2.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-03,Bonthe,Bum,Yawma,Mbondai,24.0,73.0,97,28.0,54.0,82,2.0,4.0,3.0,0.0,0.0,4.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0
